1	k141_1450 flag=0 multi=792.1250 len=6451
1	k141_1465 flag=0 multi=1931.5383 len=6450
2	k141_1507 flag=0 multi=1993.8394 len=40769
2	k141_892 flag=0 multi=2223.5185 len=22006
2	k141_2749 flag=0 multi=2313.4495 len=65807
2	k141_1118 flag=1 multi=1970.1218 len=17946
2	k141_949 flag=0 multi=1165.5571 len=35696
2	k141_2445 flag=0 multi=1171.3108 len=41721
2	k141_99 flag=0 multi=2073.9791 len=73047
2	k141_1431 flag=0 multi=1969.6026 len=30815
2	k141_1322 flag=0 multi=1869.6241 len=78103
2	k141_303 flag=0 multi=2271.4112 len=63063
2	k141_1436 flag=0 multi=2127.3645 len=8464
2	k141_307 flag=1 multi=1369.5528 len=24278
2	k141_966 flag=0 multi=1419.9907 len=62047
2	k141_2127 flag=0 multi=2129.5758 len=38819
2	k141_617 flag=0 multi=2019.4433 len=79934
2	k141_526 flag=0 multi=2193.2993 len=153569
2	k141_2148 flag=0 multi=1911.6350 len=159247
2	k141_1418 flag=0 multi=1677.7442 len=32890
2	k141_2898 flag=0 multi=1471.8800 len=29056
2	k141_1516 flag=0 multi=1700.8768 len=24133
2	k141_762 flag=1 multi=1992.9277 len=21707
2	k141_2422 flag=0 multi=1841.4665 len=93602
2	k141_812 flag=0 multi=1052.9136 len=32872
2	k141_1915 flag=0 multi=2056.8781 len=8137
2	k141_1100 flag=1 multi=1767.3943 len=23055
2	k141_1598 flag=0 multi=1357.3905 len=80162
2	k141_1878 flag=0 multi=1891.2262 len=6696
2	k141_1016 flag=0 multi=2323.7189 len=15737
2	k141_274 flag=0 multi=2080.1687 len=24063
2	k141_539 flag=0 multi=1506.5849 len=86928
2	k141_1286 flag=0 multi=2109.6850 len=28174
2	k141_2453 flag=1 multi=1638.4170 len=20293
2	k141_426 flag=0 multi=1706.4526 len=29642
2	k141_971 flag=0 multi=1615.6174 len=14278
2	k141_1292 flag=0 multi=1594.7238 len=18786
2	k141_602 flag=0 multi=1683.5579 len=83888
2	k141_356 flag=0 multi=2034.2514 len=48734
2	k141_588 flag=0 multi=1756.2794 len=67249
2	k141_2463 flag=1 multi=1430.0756 len=41644
2	k141_573 flag=0 multi=1895.3801 len=32000
2	k141_2947 flag=0 multi=2124.3544 len=20296
2	k141_1055 flag=0 multi=1954.9717 len=44501
2	k141_502 flag=0 multi=1582.3708 len=110770
2	k141_451 flag=0 multi=1080.6489 len=20390
2	k141_844 flag=0 multi=1892.4812 len=54981
2	k141_2135 flag=0 multi=1923.8239 len=32903
2	k141_1857 flag=0 multi=1618.8748 len=63452
2	k141_2002 flag=0 multi=1427.5722 len=18497
2	k141_39 flag=0 multi=1321.3204 len=7173
2	k141_219 flag=0 multi=1560.3900 len=26474
2	k141_682 flag=0 multi=1381.9434 len=148347
2	k141_1846 flag=0 multi=1488.9247 len=36347
2	k141_1656 flag=0 multi=1677.5309 len=50396
2	k141_386 flag=0 multi=1260.7562 len=36795
2	k141_2917 flag=0 multi=2314.2734 len=140258
2	k141_974 flag=0 multi=3908.2090 len=30961
2	k141_1404 flag=0 multi=1277.1601 len=9800
2	k141_471 flag=0 multi=2411.7520 len=20397
2	k141_1373 flag=0 multi=2067.3882 len=28283
2	k141_1342 flag=0 multi=1192.5743 len=123341
2	k141_286 flag=1 multi=1586.1722 len=5229
2	k141_151 flag=0 multi=1127.5069 len=33381
3	k141_221 flag=1 multi=687.0175 len=63136
3	k141_2732 flag=1 multi=742.6961 len=25214
3	k141_586 flag=0 multi=762.3989 len=21109
3	k141_79 flag=0 multi=700.2172 len=17835
3	k141_1977 flag=0 multi=722.3844 len=19832
3	k141_2452 flag=1 multi=672.7750 len=185283
3	k141_2832 flag=0 multi=657.7525 len=116932
3	k141_2677 flag=0 multi=614.9353 len=7555
3	k141_2712 flag=1 multi=675.7429 len=115661
3	k141_880 flag=1 multi=696.7797 len=7439
3	k141_475 flag=1 multi=716.9726 len=10591
3	k141_1799 flag=0 multi=704.7974 len=153006
3	k141_2493 flag=0 multi=710.8256 len=179261
3	k141_1934 flag=0 multi=686.9077 len=326994
3	k141_398 flag=0 multi=653.1467 len=6166
3	k141_1353 flag=1 multi=692.2265 len=39503
3	k141_1094 flag=0 multi=738.6633 len=96596
3	k141_1226 flag=0 multi=714.6126 len=13337
3	k141_1091 flag=0 multi=704.8551 len=107001
3	k141_2218 flag=0 multi=638.7197 len=9945
3	k141_2357 flag=0 multi=940.1653 len=15095
3	k141_1866 flag=1 multi=682.7036 len=13247
3	k141_874 flag=0 multi=743.9849 len=32390
3	k141_738 flag=0 multi=1643.8729 len=11721
3	k141_2878 flag=0 multi=700.5272 len=32710
3	k141_2172 flag=1 multi=670.1222 len=33724
3	k141_2454 flag=0 multi=679.4483 len=5562
3	k141_1935 flag=1 multi=666.8429 len=186640
